EstablishmentID	InspectionID	EstablishmentName	PlaceName	Address	Address2	City	State	Zip	TypeDescription	Latitude	Longitude	InspectionDate	Score	Grade	NameSearch	Intersection
27867	1039026	FUNNEL CAKE #5	 	MOBILE FOOD UNIT		LOUISVILLE	KY	40202	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2014-08-23 00:00:00	100		FUNNELCAKE	
27867	1041622	FUNNEL CAKE #5	 	MOBILE FOOD UNIT		LOUISVILLE	KY	40202	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2014-09-06 00:00:00	97	A	FUNNELCAKE	
28520	1027615	SANDWICH TRAILER #4	 	MOBILE FOOD UNIT		LOUISVILLE	KY	40202	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2014-07-12 00:00:00	99		SANDWICHTRAILER	
28521	1039028	CORN DOG/SAUSAGE #3	 	MOBILE FOOD UNIT		LOUISVILLE	KY	40202	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2014-08-23 00:00:00	100		CORNDOGSAUSAGE	
28522	1039031	CORN DOG/SAUSAGE #2	 	MOBILE FOOD UNIT		LOUISVILLE	KY	40202	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2014-08-23 00:00:00	100		CORNDOGSAUSAGE	
28523	1027614	CORN DOG #1	 	MOBILE FOOD UNIT		LOUISVILLE	KY	40202	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2014-07-12 00:00:00	100		CORNDOG	
28523	1039024	CORN DOG #1	 	MOBILE FOOD UNIT		LOUISVILLE	KY	40202	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2014-08-23 00:00:00	98		CORNDOG	
28523	1041620	CORN DOG #1	 	MOBILE FOOD UNIT		LOUISVILLE	KY	40202	SELF-CONTAINED MOBILE FOOD UNITS	38.2526647	-85.7584557	2014-09-06 00:00:00	100	A	CORNDOG	
29773	1053782	SHAWNEE MARKET	 	228 AMY AVENUE		LOUISVILLE	KY	40212	SUPERMARKET WITH PROCESSING	38.2606000	-85.8136000	2014-10-16 00:00:00	92		SHAWNEEMARKET	
29790	1019042	ANGIO'S	 	3731 BARDSTOWN ROAD		LOUISVILLE	KY	40218	FOOD SERVICE	38.1975000	-85.6565000	2014-06-13 00:00:00	90	A	ANGIOS	
29790	1078214	ANGIO'S	 	3731 BARDSTOWN ROAD		LOUISVILLE	KY	40218	FOOD SERVICE	38.1975000	-85.6565000	2015-01-29 00:00:00	93	A	ANGIOS	
